"Probe"	"Chr."	"Chr.	Arm	Size"	"Start"	"End"	"Length"	"Oligos"	"Probes/Kb"	"Readout"
"X1"	"X"	1	2699736	3162930	463194	2000	4.31784522	12134
"X2"	"X"	2	6150073	6570927	420854	2000	4.75224187	21142
"X3"	"X"	3	9744116	10002360	258244	2000	7.74461362	34213
"X4"	"X"	4	13300099	13568319	268220	2000	7.45656551	44423
"X5"	"X"	5	16700099	17063498	363399	2000	5.50359247	13131
"X6"	"X"	6	20000240	20337391	337151	2000	5.93206012	22113
"X7"	"X"	7	22312968	22667535	354567	2000	5.64068286	31322
"X8"	"X"	8	24769338	25034266	264928	2000	7.54922092	42211
"X9"	"X"	9	27760988	28176818	415830	2000	4.80965779	14133
"X10"	"X"	10	30360608	30850798	490190	2000	4.08005059	21232
"X11"	"X"	11	32966393	33465561	499168	2000	4.00666709	32313
"X12"	"X"	12	36400484	36790081	389597	2000	5.13350975	41324
"X13"	"X"	13	39459354	39713117	253763	2000	7.88136962	12214
"X14"	"X"	14	42079139	42526328	447189	2000	4.47238192	21411
"X15"	"X"	15	45552684	45954057	401373	2000	4.98289621	32441
"X16"	"X"	16	48103572	48584543	480971	2000	4.15825486	44132
"X17"	"X"	17	50490692	50975938	485246	2000	4.12162079	13234
"X18"	"X"	18	54838381	55339875	501494	2000	3.98808361	22131
"X19"	"X"	19	62654623	63140795	486172	2000	4.11377044	34131
"X20"	"X"	20	66514949	66949545	434596	2000	4.60197517	43134
"X21"	"X"	21	69900608	70392288	491680	2000	4.0676863	14142
"X22"	"X"	22	73485433	73814245	328812	2000	6.08250307	22412
"X23"	"X"	23	77910054	78432266	522212	2000	3.8298622	31334
"X24"	"X"	24	83361627	84188699	827072	2000	2.41816916	43233
"X25"	"X"	25	85232181	85830822	598641	2000	3.34090047	12232
"X26"	"X"	26	86991531	88219682	1228151	2000	1.62846425	23434
"X27"	"X"	27	92744475	93469737	725262	2000	2.75762414	34221
"X28"	"X"	28	95500258	96015302	515044	2000	3.88316338	42331
"X29"	"X"	29	98914842	99457819	542977	2000	3.68339727	13322
"X30"	"X"	30	101818611	102257600	438989	2000	4.55592281	24112
"X31"	"X"	31	104314862	104722079	407217	2000	4.91138631	32231
"X32"	"X"	32	106819723	107073377	253654	2000	7.8847564	43241
"X33"	"X"	33	109449678	109758266	308588	2000	6.48113342	14344
"X34"	"X"	34	112023927	112392866	368939	2000	5.42095035	23141
"X35"	"X"	35	114572448	114956727	384279	2000	5.2045519	31414
"X36"	"X"	36	116517321	117024779	507458	2000	3.94121287	43342
"X37"	"X"	37	119568613	119989592	420979	2000	4.7508308	12413
"X38"	"X"	38	124125656	124604648	478992	2000	4.17543508	21221
"X39"	"X"	39	128000400	128318616	318216	2000	6.28503909	34242
"X40"	"X"	40	132006005	132324160	318155	2000	6.28624413	41231
"X41"	"X"	41	135300308	135577664	277356	2000	7.21094911	13144
"X42"	"X"	42	138486053	138863353	377300	2000	5.30082163	22124
"X43"	"X"	43	142327526	142837366	509840	2000	3.92279931	31432
"X44"	"X"	44	146647977	147108051	460074	2000	4.34712677	43123
"X45"	"X"	45	150498633	150864458	365825	2000	5.46709492	14421
"X46"	"X"	46	153990805	154489898	499093	2000	4.00726919	22233
